PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
1631247,Luke Travers,SG,1610612739,CLE,23.0,6-7,79,207.0,,Australia,2022,2,56,12,1.0,1.7,0.7,-0.5,0.084,0.108,0.132,0.287,0.113,2024-25,Regular Season
1630644,Mac McClung,SG,1610612753,ORL,26.0,6-2,74,185.0,Texas Tech,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.5,1.5,-9.5,0.0,0.1,0.087,0.0,0.333,2024-25,Regular Season
1630201,Malachi Flynn,PG,1610612759,SAS,27.0,6-1,73,185.0,San Diego State,USA,2020,1,29,4,4.0,1.8,1.8,3.7,0.077,0.08,0.196,0.512,0.233,2024-25,Regular Season
1631103,Malaki Branham,SG,1610612759,SAS,22.0,6-4,76,180.0,Ohio State,USA,2022,1,20,47,5.0,1.1,0.8,-3.7,0.016,0.093,0.233,0.575,0.139,2024-25,Regular Season
1627763,Malcolm Brogdon,PG,1610612764,WAS,32.0,6-4,76,229.0,Virginia,USA,2016,2,36,24,12.7,3.8,4.1,-10.4,0.036,0.119,0.231,0.544,0.267,2024-25,Regular Season
1642502,Malevy Leons,SF,1610612760,OKC,25.0,6-9,81,210.0,Bradley,Netherlands,Undrafted,Undrafted,Undrafted,6,0.3,0.5,0.2,-43.3,0.04,0.095,0.102,0.266,0.111,2024-25,Regular Season
1627736,Malik Beasley,SG,1610612765,DET,28.0,6-4,76,187.0,Florida State,USA,2016,1,19,82,16.3,2.6,1.7,3.1,0.02,0.069,0.215,0.59,0.089,2024-25,Regular Season
1628370,Malik Monk,SG,1610612758,SAC,27.0,6-3,75,200.0,Kentucky,USA,2017,1,11,65,17.2,3.8,5.6,2.5,0.014,0.104,0.236,0.549,0.246,2024-25,Regular Season
1630699,MarJon Beauchamp,SF,1610612752,NYK,24.0,6-7,79,199.0,,USA,2022,1,24,35,2.3,1.3,0.3,2.9,0.064,0.198,0.222,0.535,0.124,2024-25,Regular Season
1630542,Marcus Bagley,SF,1610612755,PHI,23.0,6-6,78,217.0,Arizona State,USA,Undrafted,Undrafted,Undrafted,10,6.7,7.0,1.0,-15.9,0.078,0.175,0.128,0.456,0.056,2024-25,Regular Season
1630585,Marcus Garrett,SG,1610612766,CHA,26.0,6-5,77,205.0,Kansas,USA,Undrafted,Undrafted,Undrafted,4,7.0,1.5,3.3,-23.6,0.013,0.057,0.193,0.487,0.255,2024-25,Regular Season
1631204,Marcus Sasser,PG,1610612765,DET,24.0,6-2,74,195.0,Houston,USA,2023,1,25,57,6.6,1.2,2.3,2.9,0.021,0.06,0.187,0.589,0.239,2024-25,Regular Season
203935,Marcus Smart,PG,1610612764,WAS,31.0,6-3,75,220.0,Oklahoma State,USA,2014,1,6,34,9.0,2.1,3.2,2.6,0.024,0.069,0.198,0.529,0.221,2024-25,Regular Season
1631109,Mark Williams,C,1610612766,CHA,23.0,7-0,84,240.0,Duke,USA,2022,1,15,44,15.3,10.2,2.5,-12.7,0.103,0.255,0.21,0.647,0.154,2024-25,Regular Season
1628365,Markelle Fultz,PG,1610612758,SAC,27.0,6-4,76,209.0,Washington,USA,2017,1,1,21,2.9,1.0,1.3,3.6,0.036,0.077,0.196,0.452,0.208,2024-25,Regular Season
202693,Markieff Morris,PF,1610612747,LAL,35.0,6-9,81,245.0,Kansas,USA,2011,1,13,15,3.7,1.5,1.4,-7.8,0.017,0.114,0.202,0.385,0.191,2024-25,Regular Season
1628963,Marvin Bagley III,PF,1610612763,MEM,26.0,6-10,82,235.0,Duke,USA,2018,1,2,31,4.4,2.7,0.4,-0.6,0.128,0.159,0.2,0.56,0.063,2024-25,Regular Season
1630222,Mason Jones,SG,1610612758,SAC,26.0,6-4,76,200.0,Arkansas,USA,Undrafted,Undrafted,Undrafted,10,2.3,0.9,1.1,2.2,0.045,0.149,0.193,0.569,0.379,2024-25,Regular Season
203486,Mason Plumlee,C,1610612756,PHX,35.0,6-10,82,254.0,Duke,USA,2013,1,22,74,4.5,6.1,1.8,0.2,0.094,0.253,0.105,0.645,0.133,2024-25,Regular Season
1641824,Matas Buzelis,SF,1610612741,CHI,20.0,6-10,82,209.0,,USA,2024,1,11,80,8.6,3.5,1.0,-1.7,0.035,0.133,0.181,0.571,0.072,2024-25,Regular Season
1629680,Matisse Thybulle,SG,1610612757,POR,28.0,6-5,77,201.0,Washington,USA,2019,1,20,15,7.5,3.5,1.9,0.2,0.038,0.122,0.135,0.592,0.126,2024-25,Regular Season
1630346,Matt Ryan,SF,1610612740,NOP,28.0,6-6,78,215.0,Tennessee-Chattanooga,USA,Undrafted,Undrafted,Undrafted,19,1.5,0.4,0.2,-28.3,0.0,0.113,0.208,0.439,0.083,2024-25,Regular Season
1631108,Max Christie,SG,1610612742,DAL,22.0,6-5,77,190.0,Michigan State,USA,2022,2,35,78,9.6,3.3,1.9,-1.7,0.019,0.102,0.15,0.57,0.093,2024-25,Regular Season
1629622,Max Strus,SF,1610612739,CLE,29.0,6-5,77,215.0,DePaul,USA,Undrafted,Undrafted,Undrafted,50,9.4,4.3,3.2,7.9,0.041,0.118,0.143,0.607,0.157,2024-25,Regular Season
1628467,Maxi Kleber,PF,1610612747,LAL,33.0,6-10,82,240.0,,Germany,Undrafted,Undrafted,Undrafted,34,3.0,2.8,1.3,-0.4,0.04,0.105,0.085,0.489,0.087,2024-25,Regular Season
1641721,Maxwell Lewis,SF,1610612751,BKN,22.0,6-7,79,215.0,Pepperdine,USA,2023,2,40,28,4.1,2.0,0.7,-9.6,0.051,0.118,0.164,0.516,0.091,2024-25,Regular Season
1630695,Micah Potter,C,1610612762,UTA,27.0,6-9,81,248.0,Wisconsin,USA,Undrafted,Undrafted,Undrafted,38,4.3,4.3,0.8,-7.6,0.058,0.153,0.102,0.563,0.058,2024-25,Regular Season
1629008,Michael Porter Jr.,SF,1610612743,DEN,27.0,6-10,82,218.0,Missouri,USA,2018,1,14,77,18.2,7.0,2.1,4.4,0.055,0.146,0.197,0.617,0.084,2024-25,Regular Season
1628969,Mikal Bridges,SF,1610612752,NYK,28.0,6-6,78,209.0,Villanova,USA,2018,1,10,82,17.6,3.2,3.7,5.6,0.024,0.063,0.192,0.585,0.141,2024-25,Regular Season
201144,Mike Conley,PG,1610612750,MIN,37.0,6-0,72,175.0,Ohio State,USA,2007,1,4,71,8.2,2.6,4.5,6.5,0.018,0.085,0.141,0.573,0.243,2024-25,Regular Season
1628970,Miles Bridges,PF,1610612766,CHA,27.0,6-7,79,225.0,Michigan State,USA,2018,1,12,64,20.3,7.5,3.9,-5.5,0.033,0.189,0.273,0.541,0.203,2024-25,Regular Season
1630540,Miles McBride,PG,1610612752,NYK,24.0,6-1,73,195.0,West Virginia,USA,2021,2,36,64,9.5,2.5,2.9,7.1,0.028,0.069,0.162,0.531,0.155,2024-25,Regular Season
1641936,Miles Norris,PF,1610612738,BOS,25.0,6-7,79,220.0,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,3,2.3,3.0,0.0,-23.2,0.048,0.171,0.127,0.354,0.0,2024-25,Regular Season
1629011,Mitchell Robinson,C,1610612752,NYK,27.0,7-0,84,240.0,Western Kentucky,USA,2018,2,36,17,5.1,5.9,0.8,5.7,0.174,0.176,0.109,0.676,0.062,2024-25,Regular Season
1628964,Mo Bamba,C,1610612740,NOP,27.0,7-0,84,231.0,Texas,USA,2018,1,6,32,4.3,4.5,0.6,-9.0,0.079,0.268,0.15,0.557,0.068,2024-25,Regular Season
1628420,Monte Morris,PG,1610612756,PHX,30.0,6-2,74,183.0,Iowa State,USA,2017,2,51,45,5.2,1.5,1.6,2.8,0.021,0.088,0.173,0.546,0.188,2024-25,Regular Season
1629021,Moritz Wagner,C,1610612753,ORL,28.0,6-11,83,245.0,Michigan,Germany,2018,1,25,30,12.9,4.9,1.4,-0.9,0.067,0.201,0.254,0.649,0.135,2024-25,Regular Season
1629650,Moses Brown,C,1610612742,DAL,25.0,7-2,86,258.0,UCLA,USA,Undrafted,Undrafted,Undrafted,13,5.8,3.4,0.2,-4.4,0.098,0.224,0.216,0.706,0.029,2024-25,Regular Season
1630541,Moses Moody,SG,1610612744,GSW,23.0,6-5,77,211.0,Arkansas,USA,2021,1,14,74,9.8,2.6,1.3,4.3,0.029,0.084,0.17,0.578,0.084,2024-25,Regular Season
