PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631099,Keegan Murray,1610612758,SAC,77,43,34,2589.0,166,450,0.369,494,162.0,432.0,0.375,0.549,2023-24,Regular Season,CatchShoot
1628966,Keita Bates-Diop,1610612751,BKN,53,29,24,665.0,20,62,0.323,60,20.0,62.0,0.323,0.484,2023-24,Regular Season,CatchShoot
1629640,Keldon Johnson,1610612759,SAS,69,17,52,2038.0,104,290,0.359,310,102.0,283.0,0.36,0.534,2023-24,Regular Season,CatchShoot
203482,Kelly Olynyk,1610612761,TOR,78,31,47,1759.0,64,148,0.432,183,55.0,130.0,0.423,0.618,2023-24,Regular Season,CatchShoot
1626162,Kelly Oubre Jr.,1610612755,PHI,68,40,28,2055.0,74,236,0.314,220,72.0,231.0,0.312,0.466,2023-24,Regular Season,CatchShoot
1631112,Kendall Brown,1610612754,IND,15,10,5,63.0,0,3,0.0,0,0.0,2.0,0.0,0.0,2023-24,Regular Season,CatchShoot
1631254,Kenneth Lofton Jr.,1610612762,UTA,21,7,14,198.0,9,30,0.3,24,6.0,21.0,0.286,0.4,2023-24,Regular Season,CatchShoot
1629026,Kenrich Williams,1610612760,OKC,69,49,20,1029.0,54,133,0.406,161,53.0,129.0,0.411,0.605,2023-24,Regular Season,CatchShoot
203484,Kentavious Caldwell-Pope,1610612743,DEN,76,54,22,2402.0,104,260,0.4,306,98.0,247.0,0.397,0.588,2023-24,Regular Season,CatchShoot
1631165,Keon Ellis,1610612758,SAC,57,33,24,978.0,51,119,0.429,152,50.0,118.0,0.424,0.639,2023-24,Regular Season,CatchShoot
1630553,Keon Johnson,1610612751,BKN,5,0,5,61.0,4,6,0.667,12,4.0,5.0,0.8,1.0,2023-24,Regular Season,CatchShoot
1630556,Kessler Edwards,1610612758,SAC,54,32,22,275.0,21,51,0.412,61,19.0,47.0,0.404,0.598,2023-24,Regular Season,CatchShoot
201142,Kevin Durant,1610612756,PHX,75,44,31,2791.0,175,364,0.481,469,119.0,271.0,0.439,0.644,2023-24,Regular Season,CatchShoot
1628989,Kevin Huerter,1610612758,SAC,64,37,27,1562.0,91,262,0.347,273,91.0,261.0,0.349,0.521,2023-24,Regular Season,CatchShoot
1628995,Kevin Knox II,1610612757,POR,31,4,27,560.0,30,87,0.345,89,29.0,84.0,0.345,0.511,2023-24,Regular Season,CatchShoot
201567,Kevin Love,1610612748,MIA,55,31,24,924.0,73,216,0.338,217,71.0,211.0,0.336,0.502,2023-24,Regular Season,CatchShoot
1630284,Kevon Harris,1610612753,ORL,2,1,1,6.0,0,0,nan,0,nan,nan,nan,nan,2023-24,Regular Season,CatchShoot
1626172,Kevon Looney,1610612744,GSW,74,43,31,1194.0,6,11,0.545,12,nan,nan,nan,0.545,2023-24,Regular Season,CatchShoot
1641749,Keyontae Johnson,1610612760,OKC,9,7,2,66.0,1,3,0.333,3,1.0,3.0,0.333,0.5,2023-24,Regular Season,CatchShoot
1641718,Keyonte George,1610612762,UTA,75,27,48,2023.0,71,228,0.311,213,71.0,224.0,0.317,0.467,2023-24,Regular Season,CatchShoot
203114,Khris Middleton,1610612749,MIL,55,31,24,1487.0,65,149,0.436,182,52.0,128.0,0.406,0.611,2023-24,Regular Season,CatchShoot
1630165,Killian Hayes,1610612765,DET,42,7,35,1008.0,20,67,0.299,57,17.0,58.0,0.293,0.425,2023-24,Regular Season,CatchShoot
1630184,Kira Lewis Jr.,1610612762,UTA,28,10,18,264.0,3,24,0.125,9,3.0,24.0,0.125,0.188,2023-24,Regular Season,CatchShoot
202691,Klay Thompson,1610612744,GSW,77,41,36,2284.0,228,593,0.384,663,207.0,543.0,0.381,0.559,2023-24,Regular Season,CatchShoot
1641738,Kobe Brown,1610612746,LAC,44,27,17,394.0,12,44,0.273,36,12.0,44.0,0.273,0.409,2023-24,Regular Season,CatchShoot
1641723,Kobe Bufkin,1610612737,ATL,17,8,9,196.0,4,24,0.167,12,4.0,23.0,0.174,0.25,2023-24,Regular Season,CatchShoot
1628424,Kobi Simmons,1610612761,TOR,4,0,4,67.0,1,7,0.143,3,1.0,7.0,0.143,0.214,2023-24,Regular Season,CatchShoot
1627739,Kris Dunn,1610612762,UTA,66,25,41,1249.0,37,97,0.381,111,37.0,96.0,0.385,0.572,2023-24,Regular Season,CatchShoot
1631200,Kris Murray,1610612757,POR,62,12,50,1348.0,44,161,0.273,132,44.0,158.0,0.278,0.41,2023-24,Regular Season,CatchShoot
204001,Kristaps Porziņģis,1610612738,BOS,57,43,14,1690.0,126,303,0.416,358,106.0,273.0,0.388,0.591,2023-24,Regular Season,CatchShoot
203937,Kyle Anderson,1610612750,MIN,79,55,24,1782.0,21,58,0.362,52,10.0,40.0,0.25,0.448,2023-24,Regular Season,CatchShoot
1628398,Kyle Kuzma,1610612764,WAS,70,13,57,2281.0,110,321,0.343,324,104.0,293.0,0.355,0.505,2023-24,Regular Season,CatchShoot
200768,Kyle Lowry,1610612755,PHI,60,32,28,1690.0,64,157,0.408,191,63.0,155.0,0.406,0.608,2023-24,Regular Season,CatchShoot
202681,Kyrie Irving,1610612742,DAL,58,39,19,2030.0,89,203,0.438,257,79.0,188.0,0.42,0.633,2023-24,Regular Season,CatchShoot
1630163,LaMelo Ball,1610612766,CHA,22,7,15,711.0,37,101,0.366,109,35.0,98.0,0.357,0.54,2023-24,Regular Season,CatchShoot
1630205,Lamar Stevens,1610612763,MEM,38,22,16,559.0,20,55,0.364,54,14.0,43.0,0.326,0.491,2023-24,Regular Season,CatchShoot
1629013,Landry Shamet,1610612764,WAS,46,6,40,726.0,47,127,0.37,140,46.0,123.0,0.374,0.551,2023-24,Regular Season,CatchShoot
1626204,Larry Nance Jr.,1610612740,NOP,61,34,27,1216.0,33,75,0.44,92,26.0,61.0,0.426,0.613,2023-24,Regular Season,CatchShoot
1628374,Lauri Markkanen,1610612762,UTA,55,22,33,1820.0,175,421,0.416,518,168.0,406.0,0.414,0.615,2023-24,Regular Season,CatchShoot
2544,LeBron James,1610612747,LAL,71,41,30,2504.0,94,203,0.463,275,87.0,184.0,0.473,0.677,2023-24,Regular Season,CatchShoot
1641778,Leaky Black,1610612766,CHA,26,2,24,284.0,9,20,0.45,27,9.0,20.0,0.45,0.675,2023-24,Regular Season,CatchShoot
1631159,Leonard Miller,1610612750,MIN,17,13,4,52.0,2,6,0.333,6,2.0,5.0,0.4,0.5,2023-24,Regular Season,CatchShoot
1631311,Lester Quinones,1610612744,GSW,37,24,13,394.0,24,62,0.387,71,23.0,61.0,0.377,0.573,2023-24,Regular Season,CatchShoot
1629623,Lindell Wigginton,1610612749,MIL,3,3,0,8.0,0,2,0.0,0,0.0,2.0,0.0,0.0,2023-24,Regular Season,CatchShoot
1630322,Lindy Waters III,1610612760,OKC,38,25,13,280.0,32,67,0.478,93,29.0,64.0,0.453,0.694,2023-24,Regular Season,CatchShoot
1629022,Lonnie Walker IV,1610612751,BKN,58,23,35,1011.0,69,171,0.404,205,67.0,169.0,0.396,0.599,2023-24,Regular Season,CatchShoot
1629652,Luguentz Dort,1610612760,OKC,79,54,25,2246.0,142,360,0.394,425,141.0,353.0,0.399,0.59,2023-24,Regular Season,CatchShoot
1629029,Luka Dončić,1610612742,DAL,70,46,24,2624.0,52,143,0.364,155,51.0,135.0,0.378,0.542,2023-24,Regular Season,CatchShoot
1630568,Luka Garza,1610612750,MIN,25,17,8,122.0,9,31,0.29,26,8.0,30.0,0.267,0.419,2023-24,Regular Season,CatchShoot
