PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1641727,Dariq Whitehead,1610612763,MEM,1,0,1,22.0,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1629636,Darius Garland,1610612746,LAC,41,23,18,1224.0,565,112,228,0.491,39,50,0.78,265,0.469,262,0.464,80,0.142,33,0.058,25,0.044,2025-26,Regular Season,Drives
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,28,8,15,0.533,1,4,0.25,19,0.679,9,0.321,3,0.107,1,0.036,2,0.071,2025-26,Regular Season,Drives
1631223,David Roddy,1610612743,DEN,3,2,1,14.0,5,1,1,1.0,2,2,1.0,4,0.8,3,0.6,2,0.4,0,0.0,1,0.2,2025-26,Regular Season,Drives
1630558,Davion Mitchell,1610612748,MIA,66,35,31,1888.0,670,119,211,0.564,32,46,0.696,271,0.404,381,0.569,94,0.14,39,0.058,23,0.034,2025-26,Regular Season,Drives
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,68,17,34,0.5,6,10,0.6,42,0.618,19,0.279,5,0.074,6,0.088,5,0.074,2025-26,Regular Season,Drives
1628368,De'Aaron Fox,1610612759,SAS,67,52,15,2069.0,804,203,364,0.558,77,104,0.74,490,0.609,331,0.412,90,0.112,33,0.041,53,0.066,2025-26,Regular Season,Drives
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,232,54,113,0.478,33,38,0.868,146,0.629,72,0.31,13,0.056,17,0.073,19,0.082,2025-26,Regular Season,Drives
1629001,De'Anthony Melton,1610612744,GSW,44,21,23,1012.0,362,82,165,0.497,48,54,0.889,218,0.602,135,0.373,27,0.075,27,0.075,27,0.075,2025-26,Regular Season,Drives
