PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,2751,92,27,40,0.675,2,4,0.5,56,0.609,42,0.457,11,0.12,5,0.054,1,0.011,2025-26,Regular Season,PaintTouch
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,3319,139,52,71,0.732,21,24,0.875,129,0.928,44,0.317,5,0.036,8,0.058,11,0.079,2025-26,Regular Season,PaintTouch
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,412,41,12,16,0.75,8,8,1.0,32,0.78,17,0.415,6,0.146,3,0.073,4,0.098,2025-26,Regular Season,PaintTouch
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,58,20,9,13,0.692,3,6,0.5,21,1.05,4,0.2,2,0.1,0,0.0,3,0.15,2025-26,Regular Season,PaintTouch
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,221,2,0,0,0.0,0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,2982,361,178,238,0.748,45,56,0.804,408,1.13,52,0.144,8,0.022,20,0.055,25,0.069,2025-26,Regular Season,PaintTouch
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,113,7,4,5,0.8,0,0,0.0,8,1.143,1,0.143,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,31,3,0,0,0.0,0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,510,4,0,2,0.0,0,0,0.0,0,0.0,2,0.5,1,0.25,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,183,3,1,1,1.0,2,2,1.0,4,1.333,1,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,1938,168,58,85,0.682,22,26,0.846,143,0.851,54,0.321,11,0.065,6,0.036,11,0.065,2025-26,Regular Season,PaintTouch
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,383,97,23,44,0.523,4,4,1.0,51,0.526,39,0.402,8,0.082,8,0.082,2,0.021,2025-26,Regular Season,PaintTouch
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,1090,278,92,171,0.538,21,30,0.7,209,0.752,71,0.255,11,0.04,11,0.04,17,0.061,2025-26,Regular Season,PaintTouch
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,2505,18,5,6,0.833,2,2,1.0,13,0.722,8,0.444,2,0.111,2,0.111,1,0.056,2025-26,Regular Season,PaintTouch
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,73,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,1929,125,50,70,0.714,7,10,0.7,107,0.856,36,0.288,4,0.032,10,0.08,5,0.04,2025-26,Regular Season,PaintTouch
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,1285,11,2,4,0.5,2,2,1.0,6,0.545,6,0.545,0,0.0,0,0.0,1,0.091,2025-26,Regular Season,PaintTouch
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,15,3,1,2,0.5,0,0,0.0,2,0.667,1,0.333,1,0.333,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,4612,76,9,14,0.643,0,0,0.0,19,0.25,51,0.671,19,0.25,6,0.079,0,0.0,2025-26,Regular Season,PaintTouch
1642867,Collin Murray-Boyles,1610612761,TOR,53,28,25,1164.0,1771,356,100,164,0.61,23,40,0.575,225,0.632,145,0.407,27,0.076,18,0.051,21,0.059,2025-26,Regular Season,PaintTouch
1629012,Collin Sexton,1610612741,CHI,63,23,40,1463.0,2984,55,17,28,0.607,5,6,0.833,40,0.727,18,0.327,0,0.0,2,0.036,1,0.018,2025-26,Regular Season,PaintTouch
1642843,Cooper Flagg,1610612742,DAL,65,20,45,2197.0,4462,131,61,83,0.735,6,10,0.6,134,1.023,31,0.237,5,0.038,6,0.046,5,0.038,2025-26,Regular Season,PaintTouch
1630557,Corey Kispert,1610612737,ATL,55,26,29,1035.0,1385,47,24,32,0.75,6,8,0.75,55,1.17,10,0.213,2,0.043,1,0.021,4,0.085,2025-26,Regular Season,PaintTouch
1642504,Cormac Ryan,1610612749,MIL,6,0,6,111.0,134,5,2,3,0.667,4,4,1.0,8,1.6,0,0.0,0,0.0,0,0.0,1,0.2,2025-26,Regular Season,PaintTouch
1641854,Craig Porter Jr.,1610612739,CLE,60,40,20,1054.0,2049,86,15,25,0.6,0,0,0.0,30,0.349,54,0.628,17,0.198,4,0.047,0,0.0,2025-26,Regular Season,PaintTouch
1642938,Curtis Jones,1610612743,DEN,7,5,2,33.0,49,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,1209,10,3,6,0.5,0,0,0.0,6,0.6,2,0.2,0,0.0,2,0.2,0,0.0,2025-26,Regular Season,PaintTouch
1629610,DaQuan Jeffries,1610612758,SAC,3,0,3,60.0,52,3,1,1,1.0,0,0,0.0,2,0.667,2,0.667,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1641747,DaRon Holmes II,1610612743,DEN,22,14,8,200.0,258,19,2,6,0.333,3,4,0.75,7,0.368,8,0.421,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1631342,Daeqwon Plowden,1610612758,SAC,28,8,20,723.0,944,43,21,28,0.75,6,6,1.0,48,1.116,11,0.256,2,0.047,1,0.023,3,0.07,2025-26,Regular Season,PaintTouch
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,51,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1631207,Dalen Terry,1610612755,PHI,47,21,26,547.0,929,32,5,13,0.385,0,0,0.0,10,0.313,14,0.438,2,0.063,5,0.156,0,0.0,2025-26,Regular Season,PaintTouch
1642261,Dalton Knecht,1610612747,LAL,50,31,19,515.0,651,21,10,16,0.625,4,4,1.0,24,1.143,3,0.143,1,0.048,0,0.0,2,0.095,2025-26,Regular Season,PaintTouch
1629655,Daniel Gafford,1610612742,DAL,54,11,43,1175.0,1540,330,154,214,0.72,49,67,0.731,366,1.109,50,0.152,8,0.024,15,0.045,31,0.094,2025-26,Regular Season,PaintTouch
1642450,Daniss Jenkins,1610612765,DET,67,50,17,1333.0,2943,41,16,22,0.727,4,4,1.0,37,0.902,13,0.317,5,0.122,2,0.049,2,0.049,2025-26,Regular Season,PaintTouch
