PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1641747,DaRon Holmes II,1610612743,DEN,22,14,8,200.0,77122,14.6,7.8,6.8,4.11,4.29,3.93,2025-26,Regular Season,SpeedDistance
1631342,Daeqwon Plowden,1610612758,SAC,28,8,20,723.0,306287,58.0,31.4,26.6,4.52,4.81,4.21,2025-26,Regular Season,SpeedDistance
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,9929,1.9,1.0,0.9,4.12,4.51,3.75,2025-26,Regular Season,SpeedDistance
1631207,Dalen Terry,1610612755,PHI,47,21,26,547.0,238199,45.1,23.7,21.4,4.77,5.16,4.39,2025-26,Regular Season,SpeedDistance
1642261,Dalton Knecht,1610612747,LAL,50,31,19,515.0,187892,35.6,19.9,15.7,4.11,4.4,3.79,2025-26,Regular Season,SpeedDistance
1629655,Daniel Gafford,1610612742,DAL,54,11,43,1175.0,469686,89.0,45.8,43.1,4.4,4.54,4.25,2025-26,Regular Season,SpeedDistance
1642450,Daniss Jenkins,1610612765,DET,67,50,17,1333.0,551850,104.5,56.3,48.2,4.51,4.78,4.23,2025-26,Regular Season,SpeedDistance
1642874,Danny Wolf,1610612751,BKN,57,14,43,1187.0,484169,91.7,49.8,41.9,4.39,4.78,4.01,2025-26,Regular Season,SpeedDistance
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,15495,2.9,1.5,1.5,4.23,4.62,4.16,2025-26,Regular Season,SpeedDistance
1641727,Dariq Whitehead,1610612763,MEM,1,0,1,22.0,8582,1.6,0.9,0.7,3.96,4.15,3.74,2025-26,Regular Season,SpeedDistance
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,1177,0.2,0.1,0.1,4.23,3.95,4.56,2025-26,Regular Season,SpeedDistance
1629636,Darius Garland,1610612746,LAC,41,23,18,1224.0,470682,89.1,47.7,41.4,4.22,4.66,3.8,2025-26,Regular Season,SpeedDistance
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,28600,5.4,2.7,2.7,4.84,4.89,4.79,2025-26,Regular Season,SpeedDistance
1631223,David Roddy,1610612743,DEN,3,2,1,14.0,5888,1.1,0.6,0.5,4.38,4.27,4.51,2025-26,Regular Season,SpeedDistance
1630558,Davion Mitchell,1610612748,MIA,66,35,31,1888.0,748803,141.8,74.0,67.8,4.43,4.96,3.97,2025-26,Regular Season,SpeedDistance
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,465938,88.2,46.0,42.2,4.39,4.51,4.27,2025-26,Regular Season,SpeedDistance
1628368,De'Aaron Fox,1610612759,SAS,67,52,15,2069.0,798292,151.2,78.9,72.3,4.29,4.64,3.96,2025-26,Regular Season,SpeedDistance
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,433521,82.1,43.9,38.2,4.15,4.6,3.73,2025-26,Regular Season,SpeedDistance
1629001,De'Anthony Melton,1610612744,GSW,44,21,23,1012.0,424673,80.4,44.6,35.8,4.45,4.87,4.03,2025-26,Regular Season,SpeedDistance
201599,DeAndre Jordan,1610612740,NOP,12,6,6,199.0,66040,12.5,6.6,5.9,3.55,3.7,3.39,2025-26,Regular Season,SpeedDistance
1630610,DeJon Jarreau,1610612763,MEM,11,2,9,231.0,97942,18.5,9.6,9.0,4.49,4.74,4.29,2025-26,Regular Season,SpeedDistance
201942,DeMar DeRozan,1610612758,SAC,76,20,56,2395.0,867203,164.2,89.1,75.2,4.0,4.26,3.75,2025-26,Regular Season,SpeedDistance
1629731,Dean Wade,1610612739,CLE,57,35,22,1279.0,521329,98.7,50.5,48.2,4.53,4.79,4.28,2025-26,Regular Season,SpeedDistance
1629028,Deandre Ayton,1610612747,LAL,67,43,24,1830.0,653902,123.8,63.8,60.0,3.97,4.03,3.9,2025-26,Regular Season,SpeedDistance
1627749,Dejounte Murray,1610612740,NOP,14,5,9,389.0,153951,29.2,15.2,14.0,4.19,4.45,3.95,2025-26,Regular Season,SpeedDistance
1630166,Deni Avdija,1610612757,POR,62,33,29,2054.0,784882,148.7,80.8,67.8,4.24,4.7,3.8,2025-26,Regular Season,SpeedDistance
203471,Dennis Schröder,1610612739,CLE,66,26,40,1617.0,646871,122.5,64.7,57.8,4.37,4.7,4.06,2025-26,Regular Season,SpeedDistance
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,44559,8.4,4.6,3.9,4.55,4.95,4.25,2025-26,Regular Season,SpeedDistance
1642852,Derik Queen,1610612740,NOP,77,25,52,1888.0,677288,128.3,67.7,60.6,3.95,4.22,3.69,2025-26,Regular Season,SpeedDistance
