CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1629599,Amir Coffey,1610612756,PHX,G-F,28.0,37,24,0.45,22,59,0.373,0.352,0.021,2025-26,Regular Season,3 Pointers
203926,Doug McDermott,1610612758,SAC,F,34.0,24,19,0.444,17,59,0.288,0.354,-0.066,2025-26,Regular Season,3 Pointers
1627752,Taurean Prince,1610612749,MIL,F,32.0,21,21,0.41,25,59,0.424,0.354,0.07,2025-26,Regular Season,3 Pointers
1630165,Killian Hayes,1610612758,SAC,G,24.0,18,15,0.504,26,58,0.448,0.355,0.093,2025-26,Regular Season,3 Pointers
1629027,Trae Young,1610612764,WAS,G,27.0,15,15,0.401,21,57,0.368,0.352,0.017,2025-26,Regular Season,3 Pointers
1642066,Myron Gardner,1610612748,MIA,F,24.0,34,25,0.385,17,57,0.298,0.367,-0.069,2025-26,Regular Season,3 Pointers
1643007,Taelon Peter,1610612754,IND,G,24.0,29,20,0.316,19,56,0.339,0.359,-0.02,2025-26,Regular Season,3 Pointers
1631110,Jeremy Sochan,1610612752,NYK,F,22.0,35,28,0.304,24,56,0.429,0.342,0.087,2025-26,Regular Season,3 Pointers
1626204,Larry Nance Jr.,1610612739,CLE,F-C,33.0,28,25,0.394,24,56,0.429,0.362,0.067,2025-26,Regular Season,3 Pointers
1643016,Bez Mbeng,1610612762,UTA,G,22.0,12,11,0.389,20,56,0.357,0.367,-0.01,2025-26,Regular Season,3 Pointers
1642949,Yanic Konan Niederhäuser,1610612746,LAC,C,23.0,34,23,0.252,20,54,0.37,0.358,0.013,2025-26,Regular Season,3 Pointers
1641871,Duop Reath,1610612757,POR,C,29.0,28,26,0.4,16,54,0.296,0.351,-0.055,2025-26,Regular Season,3 Pointers
1628369,Jayson Tatum,1610612738,BOS,F-G,28.0,13,13,0.473,15,53,0.283,0.361,-0.078,2025-26,Regular Season,3 Pointers
1642358,AJ Johnson,1610612742,DAL,G,21.0,36,26,0.384,21,53,0.396,0.368,0.028,2025-26,Regular Season,3 Pointers
1628371,Jonathan Isaac,1610612753,ORL,F,28.0,45,32,0.299,15,52,0.288,0.361,-0.072,2025-26,Regular Season,3 Pointers
1629622,Max Strus,1610612739,CLE,G-F,30.0,8,8,0.432,23,51,0.451,0.355,0.096,2025-26,Regular Season,3 Pointers
1626192,Pat Connaughton,1610612766,CHA,G,33.0,31,23,0.4,17,50,0.34,0.357,-0.017,2025-26,Regular Season,3 Pointers
1630545,Terrence Shannon Jr.,1610612750,MIN,G-F,25.0,38,25,0.36,14,50,0.28,0.36,-0.08,2025-26,Regular Season,3 Pointers
1631204,Marcus Sasser,1610612765,DET,G,25.0,28,25,0.388,17,50,0.34,0.345,-0.005,2025-26,Regular Season,3 Pointers
1631132,Christian Koloko,1610612737,ATL,C,25.0,26,21,0.251,15,50,0.3,0.34,-0.04,2025-26,Regular Season,3 Pointers
1641733,Nick Smith Jr.,1610612747,LAL,G,21.0,22,19,0.442,18,50,0.36,0.358,0.002,2025-26,Regular Season,3 Pointers
1629680,Matisse Thybulle,1610612757,POR,G-F,29.0,26,20,0.383,10,49,0.204,0.362,-0.158,2025-26,Regular Season,3 Pointers
1641748,Andre Jackson Jr.,1610612749,MIL,G,24.0,36,23,0.366,15,49,0.306,0.345,-0.039,2025-26,Regular Season,3 Pointers
1641790,PJ Hall,1610612766,CHA,C,24.0,16,13,0.366,16,49,0.327,0.374,-0.047,2025-26,Regular Season,3 Pointers
1642419,Jamison Battle,1610612761,TOR,F,24.0,46,30,0.296,18,47,0.383,0.339,0.044,2025-26,Regular Season,3 Pointers
1642880,Kam Jones,1610612754,IND,G,24.0,27,24,0.313,19,47,0.404,0.361,0.043,2025-26,Regular Season,3 Pointers
1630590,Scotty Pippen Jr.,1610612763,MEM,G,25.0,10,10,0.412,20,47,0.426,0.353,0.073,2025-26,Regular Season,3 Pointers
1630167,Obi Toppin,1610612754,IND,F,28.0,18,15,0.416,17,47,0.362,0.366,-0.004,2025-26,Regular Season,3 Pointers
1630587,Isaiah Livers,1610612756,PHX,F,27.0,33,24,0.348,13,46,0.283,0.36,-0.078,2025-26,Regular Season,3 Pointers
1630322,Lindy Waters III,1610612759,SAS,F,28.0,33,25,0.506,14,45,0.311,0.351,-0.04,2025-26,Regular Season,3 Pointers
1630214,Xavier Tillman,1610612766,CHA,F,27.0,25,14,0.446,16,45,0.356,0.355,0.001,2025-26,Regular Season,3 Pointers
1642862,Liam McNeeley,1610612766,CHA,F,20.0,28,21,0.364,20,44,0.455,0.351,0.103,2025-26,Regular Season,3 Pointers
1642859,Jase Richardson,1610612753,ORL,G,20.0,43,22,0.263,13,44,0.295,0.364,-0.068,2025-26,Regular Season,3 Pointers
1626166,Cameron Payne,1610612755,PHI,G,31.0,19,15,0.393,15,44,0.341,0.37,-0.029,2025-26,Regular Season,3 Pointers
1630256,Jae'Sean Tate,1610612745,HOU,F,30.0,35,26,0.307,12,43,0.279,0.364,-0.085,2025-26,Regular Season,3 Pointers
1627749,Dejounte Murray,1610612740,NOP,G,29.0,14,13,0.301,17,43,0.395,0.365,0.031,2025-26,Regular Season,3 Pointers
1641715,Cam Whitmore,1610612764,WAS,F,21.0,21,19,0.372,15,42,0.357,0.36,-0.003,2025-26,Regular Season,3 Pointers
1642355,Bronny James,1610612747,LAL,G,21.0,31,23,0.406,12,41,0.293,0.35,-0.057,2025-26,Regular Season,3 Pointers
1643018,LJ Cryer,1610612744,GSW,G,24.0,15,13,0.482,19,40,0.475,0.378,0.097,2025-26,Regular Season,3 Pointers
1642964,Brooks Barnhizer,1610612760,OKC,G,24.0,32,20,0.345,20,39,0.513,0.344,0.169,2025-26,Regular Season,3 Pointers
1642866,Joan Beringer,1610612750,MIN,F,19.0,32,23,0.29,11,38,0.289,0.337,-0.048,2025-26,Regular Season,3 Pointers
1631174,Tyler Burton,1610612763,MEM,F,26.0,11,11,0.327,18,37,0.486,0.372,0.114,2025-26,Regular Season,3 Pointers
1641747,DaRon Holmes II,1610612743,DEN,F,23.0,19,14,0.324,13,36,0.361,0.342,0.019,2025-26,Regular Season,3 Pointers
1629162,Jordan McLaughlin,1610612759,SAS,G,29.0,31,21,0.4,15,36,0.417,0.358,0.058,2025-26,Regular Season,3 Pointers
1631104,Blake Wesley,1610612757,POR,G,23.0,25,18,0.387,11,36,0.306,0.38,-0.074,2025-26,Regular Season,3 Pointers
1641778,Leaky Black,1610612764,WAS,F,26.0,9,8,0.302,17,35,0.486,0.352,0.134,2025-26,Regular Season,3 Pointers
