PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1629012,Collin Sexton,1610612741,CHI,63,23,40,1463.0,959,359,0.517,219,0.433,171,0.376,40,0.607,0,0.0,20,0.438,0.57,2025-26,Regular Season,Efficiency
1642843,Cooper Flagg,1610612742,DAL,65,20,45,2197.0,1349,577,0.488,96,0.306,338,0.361,134,0.735,17,0.5,70,0.718,0.502,2025-26,Regular Season,Efficiency
1630557,Corey Kispert,1610612737,ATL,55,26,29,1035.0,503,118,0.605,213,0.366,37,0.326,55,0.75,0,0.0,16,0.5,0.57,2025-26,Regular Season,Efficiency
1642504,Cormac Ryan,1610612749,MIL,6,0,6,111.0,56,12,0.714,27,0.429,3,0.25,8,0.667,0,0.0,2,0.0,0.611,2025-26,Regular Season,Efficiency
1641854,Craig Porter Jr.,1610612739,CLE,60,40,20,1054.0,260,94,0.453,42,0.341,82,0.388,30,0.6,0,0.0,18,0.615,0.502,2025-26,Regular Season,Efficiency
1642938,Curtis Jones,1610612743,DEN,7,5,2,33.0,9,2,0.5,5,0.286,0,0.0,2,1.0,0,0.0,2,1.0,0.321,2025-26,Regular Season,Efficiency
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,264,100,0.52,56,0.322,103,0.373,6,0.5,2,1.0,0,0.0,0.476,2025-26,Regular Season,Efficiency
1629610,DaQuan Jeffries,1610612758,SAC,3,0,3,60.0,31,8,0.6,9,0.5,3,0.333,2,1.0,0,0.0,0,0.0,0.684,2025-26,Regular Season,Efficiency
1641747,DaRon Holmes II,1610612743,DEN,22,14,8,200.0,88,6,0.75,58,0.465,3,1.0,7,0.333,0,0.0,0,0.0,0.681,2025-26,Regular Season,Efficiency
1631342,Daeqwon Plowden,1610612758,SAC,28,8,20,723.0,290,28,0.391,147,0.333,17,0.438,48,0.75,0,0.0,22,0.778,0.538,2025-26,Regular Season,Efficiency
