PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631216,Caleb Houstan,1610612737,ATL,18,12,6,75.0,94,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,1842,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,1040,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,689,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,3760,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,1721,8,3,5,0.6,4,4,1.0,10,1.25,1,0.125,0,0.0,0,0.0,2,0.25,2025-26,Regular Season,PostTouch
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,432,2,2,2,1.0,0,0,0.0,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,1903,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,872,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,1956,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,2025-26,Regular Season,PostTouch
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,872,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,2751,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,3319,12,4,5,0.8,4,4,1.0,13,1.083,3,0.25,1,0.083,1,0.083,2,0.167,2025-26,Regular Season,PostTouch
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,412,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,58,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,221,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,2982,65,21,33,0.636,13,16,0.813,55,0.846,16,0.246,3,0.046,2,0.031,8,0.123,2025-26,Regular Season,PostTouch
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,113,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,510,3,0,1,0.0,0,0,0.0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,183,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,1938,1,0,0,0.0,1,2,0.5,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,2025-26,Regular Season,PostTouch
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,383,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,2025-26,Regular Season,PostTouch
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,31,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,1090,6,2,3,0.667,0,2,0.0,4,0.667,2,0.333,0,0.0,0,0.0,1,0.167,2025-26,Regular Season,PostTouch
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,2505,2,0,0,0.0,0,0,0.0,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,73,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,1929,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,1285,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,4612,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642867,Collin Murray-Boyles,1610612761,TOR,53,28,25,1164.0,1771,16,6,8,0.75,0,0,0.0,12,0.75,2,0.125,0,0.0,2,0.125,0,0.0,2025-26,Regular Season,PostTouch
1629012,Collin Sexton,1610612741,CHI,63,23,40,1463.0,2984,2,0,1,0.0,1,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,2025-26,Regular Season,PostTouch
1642843,Cooper Flagg,1610612742,DAL,65,20,45,2197.0,4462,33,8,16,0.5,0,0,0.0,17,0.515,12,0.364,5,0.152,3,0.091,0,0.0,2025-26,Regular Season,PostTouch
1630557,Corey Kispert,1610612737,ATL,55,26,29,1035.0,1385,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642504,Cormac Ryan,1610612749,MIL,6,0,6,111.0,134,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641854,Craig Porter Jr.,1610612739,CLE,60,40,20,1054.0,2049,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642938,Curtis Jones,1610612743,DEN,7,5,2,33.0,49,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,1209,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1629610,DaQuan Jeffries,1610612758,SAC,3,0,3,60.0,52,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641747,DaRon Holmes II,1610612743,DEN,22,14,8,200.0,258,2,0,0,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,2025-26,Regular Season,PostTouch
1631342,Daeqwon Plowden,1610612758,SAC,28,8,20,723.0,944,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,51,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631207,Dalen Terry,1610612755,PHI,47,21,26,547.0,929,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642261,Dalton Knecht,1610612747,LAL,50,31,19,515.0,651,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1629655,Daniel Gafford,1610612742,DAL,54,11,43,1175.0,1540,39,12,20,0.6,2,2,1.0,26,0.667,11,0.282,2,0.051,5,0.128,1,0.026,2025-26,Regular Season,PostTouch
1642450,Daniss Jenkins,1610612765,DET,67,50,17,1333.0,2943,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642874,Danny Wolf,1610612751,BKN,57,14,43,1187.0,2023,15,2,6,0.333,2,2,1.0,6,0.4,6,0.4,0,0.0,2,0.133,1,0.067,2025-26,Regular Season,PostTouch
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,40,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641727,Dariq Whitehead,1610612763,MEM,1,0,1,22.0,37,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
