PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,1842,11,5,6,0.833,0,0,0.0,10,0.909,5,0.455,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,1040,16,1,4,0.25,0,1,0.0,3,0.188,10,0.625,1,0.1,1,0.063,1,0.063,2025-26,Regular Season,ElbowTouch
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,689,6,1,1,1.0,2,2,1.0,4,0.667,3,0.5,0,0.0,0,0.0,1,0.167,2025-26,Regular Season,ElbowTouch
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,3760,25,5,8,0.625,0,0,0.0,10,0.4,17,0.68,2,0.118,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,1721,12,3,6,0.5,0,0,0.0,7,0.583,4,0.333,1,0.25,1,0.083,0,0.0,2025-26,Regular Season,ElbowTouch
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,432,8,4,8,0.5,0,0,0.0,10,1.25,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,1903,29,10,15,0.667,1,2,0.5,22,0.759,11,0.379,0,0.0,0,0.0,1,0.034,2025-26,Regular Season,ElbowTouch
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,872,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,1956,20,5,8,0.625,2,2,1.0,12,0.6,7,0.35,2,0.286,3,0.15,1,0.05,2025-26,Regular Season,ElbowTouch
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,872,22,3,7,0.429,0,2,0.0,6,0.273,13,0.591,3,0.231,0,0.0,1,0.045,2025-26,Regular Season,ElbowTouch
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,2751,39,8,10,0.8,2,4,0.5,18,0.462,24,0.615,6,0.25,2,0.051,1,0.026,2025-26,Regular Season,ElbowTouch
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,3319,32,8,13,0.615,8,10,0.8,25,0.781,13,0.406,2,0.154,0,0.0,5,0.156,2025-26,Regular Season,ElbowTouch
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,412,25,3,6,0.5,6,6,1.0,12,0.48,12,0.48,3,0.25,3,0.12,2,0.08,2025-26,Regular Season,ElbowTouch
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,58,3,0,2,0.0,1,2,0.5,1,0.333,0,0.0,0,0.0,0,0.0,1,0.333,2025-26,Regular Season,ElbowTouch
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,221,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
